driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Adaptive,1,A,I,AB->BE->EF->FI,35.0,400.0,45.6,0.1131
Adaptive,2,A,I,AB->BE->EF->FI,35.0,400.0,45.6,0.1131
Adaptive,3,A,I,AB->BE->EF->FI,35.0,400.0,45.6,0.1131
Adaptive,4,A,I,AB->BE->EF->FI,35.0,400.0,45.6,0.1131
Adaptive,5,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
Adaptive,6,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
Adaptive,7,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
Adaptive,8,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
Adaptive,9,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
Adaptive,10,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
