driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Adaptive_47,1,H,C,HC,9.0,111.8,50.0,0.0
Adaptive_27,1,A,D,AD,11.0,150.0,50.0,0.0
Adaptive_79,1,A,D,AD,11.0,150.0,50.0,0.0
Adaptive_0,1,B,A,BA,12.0,158.11,50.0,0.0
Adaptive_14,1,G,F,GF,12.0,141.42,45.42,0.055
Adaptive_17,1,B,G,BG,12.0,158.11,49.58,0.005
Adaptive_21,1,H,I,HI,12.0,158.11,50.0,0.0
Adaptive_22,1,B,G,BG,12.0,158.11,50.0,0.0
Adaptive_31,1,H,F,HF,12.0,158.11,50.0,0.0
Adaptive_42,1,F,G,FG,12.0,141.42,45.83,0.05
Adaptive_50,1,I,E,IE,12.0,158.11,49.58,0.005
Adaptive_55,1,H,B,HB,12.0,141.42,45.83,0.05
Adaptive_60,1,H,I,HI,12.0,158.11,50.0,0.0
Adaptive_63,1,I,E,IE,12.0,158.11,50.0,0.0
Adaptive_41,1,D,A,DA,13.0,150.0,42.69,0.1077
Adaptive_71,1,J,D,JD,14.0,180.28,47.14,0.0529
Adaptive_37,1,C,H,CH,16.0,111.8,27.19,0.4525
Adaptive_66,1,C,H,CH,16.0,111.8,27.19,0.4525
Adaptive_47,2,C,J,CJ,11.0,150.0,50.0,0.0
Adaptive_35,1,J,C,JC,21.0,150.0,26.19,0.4762
Adaptive_4,1,B,J,BC->CJ,22.0,300.0,50.0,0.0
Adaptive_6,1,A,B,AB,22.0,158.11,26.14,0.4773
Adaptive_56,1,A,B,AB,22.0,158.11,25.91,0.48
Adaptive_61,1,E,I,EI,22.0,158.11,26.14,0.4773
Adaptive_62,1,A,B,AB,22.0,158.11,25.91,0.4764
Adaptive_57,1,C,G,CB->BG,23.0,308.11,50.0,0.0
Adaptive_5,1,G,A,GB->BA,24.0,316.23,49.79,0.0025
Adaptive_12,1,J,E,JI->IE,24.0,316.23,50.0,0.0
Adaptive_30,1,G,E,GF->FE,24.0,299.54,47.08,0.0375
Adaptive_38,1,G,E,GF->FE,24.0,299.54,47.29,0.0325
Adaptive_41,2,A,D,AD,11.0,150.0,50.0,0.0
Adaptive_46,1,H,G,HB->BG,24.0,299.54,47.71,0.0275
Adaptive_60,2,I,J,IJ,12.0,158.11,48.75,0.015
Adaptive_76,1,H,A,HB->BA,24.0,299.54,47.5,0.03
Adaptive_44,1,D,J,DJ,25.0,180.28,26.0,0.48
Adaptive_64,1,F,B,FG->GB,26.0,299.54,42.88,0.1054
Adaptive_69,1,I,B,IH->HB,28.0,299.54,40.18,0.17
Adaptive_3,1,B,I,BH->HI,29.0,299.54,38.1,0.1917
Adaptive_23,1,B,I,BH->HI,29.0,299.54,38.97,0.1724
Adaptive_8,1,J,A,JD->DA,30.0,330.28,41.17,0.166
Adaptive_9,1,I,D,IJ->JD,30.0,338.39,41.83,0.1287
Adaptive_36,1,I,D,IJ->JD,30.0,338.39,42.33,0.118
Adaptive_39,1,I,D,IJ->JD,30.0,338.39,42.5,0.114
Adaptive_54,1,C,I,CH->HI,30.0,269.92,34.67,0.2853
Adaptive_68,1,I,C,IH->HC,30.0,269.92,33.17,0.3127
Adaptive_13,1,A,C,AB->BC,33.0,308.11,34.39,0.3103
Adaptive_58,1,J,B,JC->CB,33.0,300.0,33.33,0.317
Adaptive_24,1,E,J,EI->IJ,34.0,316.23,34.71,0.3012
Adaptive_59,1,G,J,GB->BC->CJ,35.0,458.11,48.86,0.0171
Adaptive_31,2,F,H,FH,24.0,158.11,40.0,0.1573
Adaptive_7,1,D,I,DJ->JI,37.0,338.39,34.05,0.3173
Adaptive_12,2,E,F,EF,13.0,158.11,46.54,0.0415
Adaptive_14,2,F,B,FG->GB,25.0,299.54,44.2,0.096
