timestamp,road_id,vehicle_count,current_speed_kmh,density,stress_level
0.0,BA,1,50.0,0.2,0.0
0.0,AB,5,25.0,1.0,0.5
0.0,AD,2,50.0,0.4,0.0
0.0,DA,3,45.0,0.6,0.06
0.0,BG,4,35.0,0.8,0.24
0.0,GB,2,50.0,0.4,0.0
0.0,GF,3,45.0,0.6,0.06
0.0,FG,2,50.0,0.4,0.0
0.0,BC,1,50.0,0.2,0.0
0.0,CB,1,50.0,0.2,0.0
0.0,BH,2,50.0,0.4,0.0
0.0,HB,3,45.0,0.6,0.06
0.0,FE,0,50.0,0.0,0.0
0.0,EF,5,25.0,1.0,0.5
0.0,FH,5,25.0,1.0,0.5
0.0,HF,1,50.0,0.2,0.0
0.0,EI,5,25.0,1.0,0.5
0.0,IE,2,50.0,0.4,0.0
0.0,HI,2,50.0,0.4,0.0
0.0,IH,4,35.0,0.8,0.24
0.0,HC,1,50.0,0.2,0.0
0.0,CH,5,25.0,1.0,0.5
0.0,IJ,3,45.0,0.6,0.06
0.0,JI,1,50.0,0.2,0.0
0.0,CJ,0,50.0,0.0,0.0
0.0,JC,5,25.0,1.0,0.5
0.0,DJ,5,25.0,1.0,0.5
0.0,JD,2,50.0,0.4,0.0
60.0,BA,3,45.0,0.6,0.06
60.0,AB,5,25.0,1.0,0.5
60.0,AD,2,50.0,0.4,0.0
60.0,DA,0,50.0,0.0,0.0
60.0,BG,5,25.0,1.0,0.5
60.0,GB,5,25.0,1.0,0.5
60.0,GF,0,50.0,0.0,0.0
60.0,FG,0,50.0,0.0,0.0
60.0,BC,0,50.0,0.0,0.0
60.0,CB,3,45.0,0.6,0.06
60.0,BH,1,50.0,0.2,0.0
60.0,HB,5,25.0,1.0,0.5
60.0,FE,1,50.0,0.2,0.0
60.0,EF,1,50.0,0.2,0.0
60.0,FH,4,35.0,0.8,0.24
60.0,HF,2,50.0,0.4,0.0
60.0,EI,0,50.0,0.0,0.0
60.0,IE,0,50.0,0.0,0.0
60.0,HI,2,50.0,0.4,0.0
60.0,IH,5,25.0,1.0,0.5
60.0,HC,2,50.0,0.4,0.0
60.0,CH,1,50.0,0.2,0.0
60.0,IJ,3,45.0,0.6,0.06
60.0,JI,3,45.0,0.6,0.06
60.0,CJ,5,25.0,1.0,0.5
60.0,JC,1,50.0,0.2,0.0
60.0,DJ,5,25.0,1.0,0.5
60.0,JD,5,25.0,1.0,0.5
120.0,BA,4,35.0,0.8,0.24
120.0,AB,2,50.0,0.4,0.0
120.0,AD,1,50.0,0.2,0.0
120.0,DA,2,50.0,0.4,0.0
120.0,BG,5,25.0,1.0,0.5
120.0,GB,2,50.0,0.4,0.0
120.0,GF,0,50.0,0.0,0.0
120.0,FG,1,50.0,0.2,0.0
120.0,BC,2,50.0,0.4,0.0
120.0,CB,0,50.0,0.0,0.0
120.0,BH,2,50.0,0.4,0.0
120.0,HB,5,25.0,1.0,0.5
120.0,FE,5,25.0,1.0,0.5
120.0,EF,2,50.0,0.4,0.0
120.0,FH,4,35.0,0.8,0.24
120.0,HF,2,50.0,0.4,0.0
120.0,EI,2,50.0,0.4,0.0
120.0,IE,2,50.0,0.4,0.0
120.0,HI,0,50.0,0.0,0.0
120.0,IH,4,35.0,0.8,0.24
120.0,HC,1,50.0,0.2,0.0
120.0,CH,2,50.0,0.4,0.0
120.0,IJ,2,50.0,0.4,0.0
120.0,JI,3,45.0,0.6,0.06
120.0,CJ,5,25.0,1.0,0.5
120.0,JC,1,50.0,0.2,0.0
120.0,DJ,5,25.0,1.0,0.5
120.0,JD,4,35.0,0.8,0.24
180.0,BA,2,50.0,0.4,0.0
180.0,AB,5,25.0,1.0,0.5
180.0,AD,1,50.0,0.2,0.0
180.0,DA,5,25.0,1.0,0.5
180.0,BG,5,25.0,1.0,0.5
180.0,GB,4,35.0,0.8,0.24
180.0,GF,2,50.0,0.4,0.0
180.0,FG,0,50.0,0.0,0.0
180.0,BC,1,50.0,0.2,0.0
180.0,CB,1,50.0,0.2,0.0
180.0,BH,2,50.0,0.4,0.0
180.0,HB,3,45.0,0.6,0.06
180.0,FE,5,25.0,1.0,0.5
180.0,EF,0,50.0,0.0,0.0
180.0,FH,2,50.0,0.4,0.0
180.0,HF,5,25.0,1.0,0.5
180.0,EI,5,25.0,1.0,0.5
180.0,IE,1,50.0,0.2,0.0
180.0,HI,1,50.0,0.2,0.0
180.0,IH,1,50.0,0.2,0.0
180.0,HC,1,50.0,0.2,0.0
180.0,CH,2,50.0,0.4,0.0
180.0,IJ,2,50.0,0.4,0.0
180.0,JI,1,50.0,0.2,0.0
180.0,CJ,5,25.0,1.0,0.5
180.0,JC,5,25.0,1.0,0.5
180.0,DJ,1,50.0,0.2,0.0
180.0,JD,5,25.0,1.0,0.5
240.0,BA,1,50.0,0.2,0.0
240.0,AB,5,25.0,1.0,0.5
240.0,AD,0,50.0,0.0,0.0
240.0,DA,5,25.0,1.0,0.5
240.0,BG,4,35.0,0.8,0.24
240.0,GB,1,50.0,0.2,0.0
240.0,GF,3,45.0,0.6,0.06
240.0,FG,2,50.0,0.4,0.0
240.0,BC,3,45.0,0.6,0.06
240.0,CB,3,45.0,0.6,0.06
240.0,BH,1,50.0,0.2,0.0
240.0,HB,5,25.0,1.0,0.5
240.0,FE,5,25.0,1.0,0.5
240.0,EF,1,50.0,0.2,0.0
240.0,FH,1,50.0,0.2,0.0
240.0,HF,3,45.0,0.6,0.06
240.0,EI,1,50.0,0.2,0.0
240.0,IE,0,50.0,0.0,0.0
240.0,HI,0,50.0,0.0,0.0
240.0,IH,5,25.0,1.0,0.5
240.0,HC,5,25.0,1.0,0.5
240.0,CH,2,50.0,0.4,0.0
240.0,IJ,2,50.0,0.4,0.0
240.0,JI,0,50.0,0.0,0.0
240.0,CJ,3,45.0,0.6,0.06
240.0,JC,2,50.0,0.4,0.0
240.0,DJ,3,45.0,0.6,0.06
240.0,JD,5,25.0,1.0,0.5
300.0,BA,5,25.0,1.0,0.5
300.0,AB,5,25.0,1.0,0.5
300.0,AD,1,50.0,0.2,0.0
300.0,DA,5,25.0,1.0,0.5
300.0,BG,5,25.0,1.0,0.5
300.0,GB,3,45.0,0.6,0.06
300.0,GF,2,50.0,0.4,0.0
300.0,FG,1,50.0,0.2,0.0
300.0,BC,0,50.0,0.0,0.0
300.0,CB,2,50.0,0.4,0.0
300.0,BH,0,50.0,0.0,0.0
300.0,HB,2,50.0,0.4,0.0
300.0,FE,5,25.0,1.0,0.5
300.0,EF,4,35.0,0.8,0.24
300.0,FH,1,50.0,0.2,0.0
300.0,HF,3,45.0,0.6,0.06
300.0,EI,2,50.0,0.4,0.0
300.0,IE,1,50.0,0.2,0.0
300.0,HI,0,50.0,0.0,0.0
300.0,IH,3,45.0,0.6,0.06
300.0,HC,5,25.0,1.0,0.5
300.0,CH,1,50.0,0.2,0.0
300.0,IJ,1,50.0,0.2,0.0
300.0,JI,2,50.0,0.4,0.0
300.0,CJ,4,35.0,0.8,0.24
300.0,JC,1,50.0,0.2,0.0
300.0,DJ,5,25.0,1.0,0.5
300.0,JD,3,45.0,0.6,0.06
360.0,BA,5,25.0,1.0,0.5
360.0,AB,5,25.0,1.0,0.5
360.0,AD,2,50.0,0.4,0.0
360.0,DA,5,25.0,1.0,0.5
360.0,BG,0,50.0,0.0,0.0
360.0,GB,5,25.0,1.0,0.5
360.0,GF,2,50.0,0.4,0.0
360.0,FG,1,50.0,0.2,0.0
360.0,BC,2,50.0,0.4,0.0
360.0,CB,1,50.0,0.2,0.0
