driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Base_47,1,H,C,HC,9.0,111.8,50.0,0.0
Base_27,1,A,D,AD,11.0,150.0,50.0,0.0
Base_42,1,F,G,FG,11.0,141.42,50.0,0.0
Base_79,1,A,D,AD,11.0,150.0,50.0,0.0
Base_0,1,B,A,BA,12.0,158.11,50.0,0.0
Base_14,1,G,F,GF,12.0,141.42,45.42,0.055
Base_21,1,H,I,HI,12.0,158.11,48.33,0.025
Base_31,1,H,F,HF,12.0,158.11,50.0,0.0
Base_50,1,I,E,IE,12.0,158.11,49.58,0.005
Base_55,1,H,B,HB,12.0,141.42,45.42,0.055
Base_60,1,H,I,HI,12.0,158.11,48.33,0.025
Base_63,1,I,E,IE,12.0,158.11,50.0,0.0
Base_41,1,D,A,DA,13.0,150.0,42.69,0.1077
Base_71,1,J,D,JD,14.0,180.28,47.86,0.0343
Base_37,1,C,H,CH,16.0,111.8,27.19,0.4525
Base_66,1,C,H,CH,16.0,111.8,27.19,0.4525
Base_17,1,B,G,BG,18.0,158.11,31.94,0.3278
Base_22,1,B,G,BG,18.0,158.11,32.78,0.3067
Base_47,2,C,J,CJ,11.0,150.0,50.0,0.0
Base_35,1,J,C,JC,21.0,150.0,26.19,0.4762
Base_4,1,B,J,BC->CJ,22.0,300.0,50.0,0.0
Base_6,1,A,B,AB,22.0,158.11,26.14,0.4773
Base_56,1,A,B,AB,22.0,158.11,25.91,0.48
Base_61,1,E,I,EI,22.0,158.11,26.14,0.4773
Base_62,1,A,B,AB,22.0,158.11,25.91,0.4764
Base_42,2,G,B,GB,12.0,158.11,47.5,0.03
Base_64,1,F,B,FG->GB,23.0,299.54,49.13,0.0104
Base_5,1,G,A,GB->BA,24.0,316.23,49.58,0.005
Base_12,1,J,E,JI->IE,24.0,316.23,50.0,0.0
Base_76,1,H,A,HB->BA,24.0,299.54,47.29,0.0325
Base_30,1,G,E,GF->FE,25.0,299.54,45.6,0.0528
Base_38,1,G,E,GF->FE,25.0,299.54,45.4,0.0552
Base_44,1,D,J,DJ,25.0,180.28,26.0,0.48
Base_23,1,B,I,BH->HI,26.0,299.54,43.27,0.1177
Base_57,1,C,G,CB->BG,26.0,308.11,43.65,0.1223
Base_3,1,B,I,BH->HI,27.0,299.54,42.22,0.1385
Base_32,1,C,F,CH->HF,28.0,269.92,36.61,0.2679
Base_72,1,C,F,CH->HF,28.0,269.92,36.61,0.2679
Base_8,1,J,A,JD->DA,29.0,330.28,42.07,0.1476
Base_9,1,I,D,IJ->JD,29.0,338.39,43.79,0.0828
Base_36,1,I,D,IJ->JD,29.0,338.39,44.31,0.0745
Base_39,1,I,D,IJ->JD,29.0,338.39,44.31,0.0745
Base_18,1,B,F,BG->GF,30.0,299.54,37.67,0.21
Base_46,1,H,G,HB->BG,30.0,299.54,47.67,0.028
Base_77,1,B,F,BG->GF,30.0,299.54,37.17,0.2207
Base_68,1,I,C,IH->HC,32.0,269.92,31.56,0.3481
Base_69,1,I,B,IH->HB,32.0,299.54,35.62,0.2413
Base_13,1,A,C,AB->BC,33.0,308.11,34.39,0.3103
Base_54,1,C,I,CH->HI,33.0,269.92,31.06,0.3497
Base_58,1,J,B,JC->CB,33.0,300.0,33.33,0.317
Base_66,2,H,I,HI,17.0,158.11,33.82,0.2753
Base_24,1,E,J,EI->IJ,34.0,316.23,34.12,0.3082
Base_56,2,B,H,BH,12.0,141.42,45.42,0.055
Base_59,1,G,J,GB->BC->CJ,34.0,458.11,49.71,0.0035
Base_76,2,A,D,AD,11.0,150.0,49.55,0.0055
Base_7,1,D,I,DJ->JI,37.0,338.39,34.05,0.3173
Base_55,2,B,I,BH->HI,27.0,299.54,42.78,0.117
Base_0,2,A,B,AB,28.0,158.11,31.67,0.3489
Base_26,1,D,B,DA->AB,40.0,308.11,34.62,0.2855
Base_29,1,D,B,DA->AB,40.0,308.11,34.62,0.2815
Base_65,1,E,G,EF->FG,40.0,299.54,27.75,0.436
Base_73,1,C,I,CH->HI,40.0,269.92,44.4,0.0816
Base_13,2,C,H,CH,9.0,111.8,50.0,0.0
Base_22,2,G,E,GF->FE,24.0,299.54,47.71,0.0275
Base_63,2,E,I,EI,30.0,158.11,28.1,0.4343
Base_70,1,E,I,EI,42.0,158.11,28.57,0.4219
Base_35,2,C,F,CH->HF,22.0,269.92,46.82,0.0382
Base_75,1,J,F,JC->CH->HF,43.0,419.92,36.86,0.2507
Base_10,1,I,G,IH->HB->BG,44.0,457.65,37.61,0.2036
Base_58,2,B,H,BH,11.0,141.42,50.0,0.0
Base_56,3,H,B,HB,11.0,141.42,48.64,0.0164
Base_2,1,D,C,DJ->JC,46.0,330.28,26.96,0.4557
Base_6,2,B,I,BH->HI,24.0,299.54,46.46,0.0425
Base_12,2,E,I,EI,22.0,158.11,26.36,0.4682
Base_21,2,I,C,IH->HC,34.0,269.92,30.74,0.3712
Base_14,2,F,I,FE->EI,35.0,316.23,33.57,0.3091
Base_27,2,D,B,DA->AB,36.0,308.11,31.39,0.345
Base_62,2,B,D,BA->AD,25.0,308.11,44.8,0.0752
Base_64,2,B,F,BG->GF,24.0,299.54,47.08,0.045
Base_41,2,A,J,AD->DJ,35.0,330.28,36.43,0.2634
Base_51,1,J,G,JC->CB->BG,48.0,458.11,35.1,0.2721
Base_52,1,J,G,JC->CB->BG,48.0,458.11,35.52,0.2629
Base_42,3,B,D,BA->AD,26.0,308.11,44.23,0.0862
Base_68,2,C,J,CJ,17.0,150.0,32.65,0.3412
Base_18,2,F,H,FH,20.0,158.11,29.0,0.408
Base_4,2,J,H,JC->CH,29.0,261.8,33.28,0.3214
Base_26,2,B,H,BH,11.0,141.42,50.0,0.0
Base_44,2,J,A,JD->DA,26.0,330.28,46.35,0.0554
Base_60,2,I,C,IH->HC,40.0,269.92,29.31,0.4028
Base_74,1,I,A,IH->HB->BA,52.0,457.65,33.37,0.2962
Base_1,1,E,D,EI->IJ->JD,53.0,496.51,33.87,0.3087
Base_22,3,E,F,EF,12.0,158.11,50.0,0.0
Base_24,2,J,D,JD,20.0,180.28,34.0,0.286
Base_11,1,D,H,DJ->JC->CH,55.0,442.08,29.55,0.3935
Base_40,1,F,A,FH->HB->BA,55.0,457.65,30.73,0.3651
Base_0,3,B,G,BG,16.0,158.11,36.88,0.2113
Base_31,2,F,C,FH->HC,44.0,269.92,29.0,0.4006
Base_9,2,D,B,DA->AB,28.0,308.11,41.61,0.1414
Base_77,2,F,I,FE->EI,27.0,316.23,45.0,0.0844
Base_21,3,C,B,CB,12.0,150.0,47.92,0.025
Base_57,2,G,A,GB->BA,32.0,316.23,36.88,0.2475
Base_17,2,G,D,GB->BA->AD,41.0,466.23,41.83,0.1439
Base_67,1,A,E,AB->BH->HF->FE,59.0,615.76,39.41,0.1983
Base_19,1,F,J,FH->HC->CJ,60.0,419.92,25.75,0.483
Base_25,1,F,J,FH->HC->CJ,60.0,419.92,25.92,0.4787
Base_29,2,B,A,BA,20.0,158.11,29.0,0.396
Base_50,2,E,H,EF->FH,48.0,316.23,40.64,0.1744
