driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
SlowLearner,1,A,I,AB->BE->EF->FI,33.0,400.0,47.82,0.0655
SlowLearner,2,A,I,AB->BE->EF->FI,33.0,400.0,47.82,0.0655
SlowLearner,3,A,I,AB->BE->EF->FI,33.0,400.0,47.82,0.0655
SlowLearner,4,A,I,AB->BE->EF->FI,33.0,400.0,47.82,0.0655
SlowLearner,5,A,I,AB->BE->EF->FI,33.0,400.0,47.82,0.0655
SlowLearner,6,A,I,AB->BE->EF->FI,33.0,400.0,47.82,0.0655
SlowLearner,7,A,I,AB->BE->EF->FI,33.0,400.0,47.82,0.0655
SlowLearner,8,A,I,AB->BE->EF->FI,33.0,400.0,47.82,0.0655
SlowLearner,9,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,10,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,11,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,12,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,13,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,14,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,15,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,16,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,17,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,18,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,19,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,20,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,21,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,22,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,23,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,24,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,25,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,26,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,27,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,28,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,29,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,30,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,31,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,32,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,33,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,34,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,35,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,36,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,37,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,38,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,39,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,40,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,41,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,42,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,43,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,44,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,45,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,46,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,47,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,48,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,49,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
SlowLearner,50,A,I,AD->DE->EF->FI,32.0,400.0,50.0,0.0
