driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
BaseAStar_0,1,A,P,AE->EF->FG->GH->HL->LP,95.0,600.0,29.94,0.3556
BaseAStar_1,1,A,P,AE->EF->FG->GH->HL->LP,95.0,600.0,30.32,0.3484
BaseAStar_2,1,A,P,AE->EF->FG->GH->HL->LP,95.0,600.0,30.45,0.3459
BaseAStar_0,2,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.4581
BaseAStar_1,2,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.4536
BaseAStar_2,2,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1652
BaseAStar_0,3,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,3,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,3,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,4,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,4,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,4,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,5,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,5,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,5,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,6,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,6,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,6,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,7,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,7,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,7,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,8,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,8,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,8,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,9,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.4176
BaseAStar_1,9,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.4131
BaseAStar_2,9,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1286
BaseAStar_0,10,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,10,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,10,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,11,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,11,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,11,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,12,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,12,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,12,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,13,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,13,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,13,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,14,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,14,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,14,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,15,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.71,0.3974
BaseAStar_1,15,A,P,AE->EF->FG->GH->HL->LP,84.0,600.0,27.9,0.3929
BaseAStar_2,15,A,P,AE->EF->FG->GH->HL->LP,93.0,600.0,39.63,0.1103
BaseAStar_0,16,A,P,AE->EF->FJ->JO->OP,88.0,541.42,26.98,0.3695
BaseAStar_1,16,A,P,AE->EF->FJ->JO->OP,111.0,541.42,29.71,0.2932
BaseAStar_2,16,A,P,AE->EF->FJ->JO->OP,111.0,541.42,32.56,0.2245
BaseAStar_0,17,A,P,AE->EF->FJ->JO->OP,82.0,541.42,28.07,0.3763
BaseAStar_1,17,A,P,AE->EF->FJ->JO->OP,105.0,541.42,30.72,0.2941
BaseAStar_2,17,A,P,AE->EF->FJ->JO->OP,105.0,541.42,33.43,0.2261
BaseAStar_0,18,A,P,AE->EF->FJ->JO->OP,88.0,541.42,28.56,0.337
BaseAStar_1,18,A,P,AE->EF->FJ->JO->OP,88.0,541.42,28.7,0.3341
BaseAStar_2,18,A,P,AE->EF->FJ->JO->OP,107.0,541.42,34.74,0.1671
