driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
LowFam_0,1,A,P,AE->EF->FG->GK->KL->LP,98.0,600.0,22.5,0.5684
LowFam_1,1,A,P,AE->EF->FG->GK->KL->LP,98.0,600.0,22.97,0.5541
LowFam_2,1,A,P,AE->EF->FG->GK->KL->LP,109.0,600.0,25.78,0.482
LowFam_0,2,A,P,AE->EI->IJ->JK->KO->OP,63.0,600.0,34.86,0.2829
LowFam_1,2,A,P,AE->EI->IJ->JK->KO->OP,63.0,600.0,35.08,0.2784
LowFam_2,2,A,P,AE->EI->IJ->JK->KL->LP,62.0,600.0,36.29,0.2813
LowFam_0,3,A,P,AB->BF->FJ->JK->KO->OP,59.0,600.0,38.44,0.0417
LowFam_1,3,A,P,AB->BF->FJ->JK->KO->OP,59.0,600.0,38.73,0.0376
LowFam_2,3,A,P,AB->BF->FJ->JK->KL->LP,58.0,600.0,40.09,0.0383
LowFam_0,4,A,P,AB->BF->FJ->JK->KO->OP,59.0,600.0,38.44,0.0417
LowFam_1,4,A,P,AB->BF->FJ->JK->KO->OP,59.0,600.0,38.73,0.0376
LowFam_2,4,A,P,AB->BF->FJ->JK->KL->LP,58.0,600.0,40.09,0.0383
LowFam_0,5,A,P,AB->BF->FJ->JK->KO->OP,59.0,600.0,38.44,0.0417
LowFam_1,5,A,P,AB->BF->FJ->JK->KO->OP,59.0,600.0,38.73,0.0376
LowFam_2,5,A,P,AB->BF->FJ->JK->KL->LP,58.0,600.0,40.09,0.0383
LowFam_0,6,A,P,AB->BF->FJ->JK->KO->OP,59.0,600.0,38.44,0.0417
LowFam_1,6,A,P,AB->BF->FJ->JK->KO->OP,59.0,600.0,38.73,0.0376
LowFam_2,6,A,P,AB->BF->FJ->JK->KL->LP,58.0,600.0,40.09,0.0383
LowFam_0,7,A,P,AB->BF->FJ->JK->KO->OP,59.0,600.0,38.44,0.0417
LowFam_1,7,A,P,AB->BF->FJ->JK->KO->OP,59.0,600.0,38.73,0.0376
