driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
BaseAStar_0,1,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.15,0.5728
BaseAStar_1,1,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.55,0.5622
BaseAStar_2,1,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.86,0.5557
BaseAStar_0,2,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,2,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
BaseAStar_2,2,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,23.75,0.5342
BaseAStar_0,3,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,3,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
BaseAStar_2,3,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,23.75,0.5342
BaseAStar_0,4,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,4,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
BaseAStar_2,4,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,23.75,0.5342
BaseAStar_0,5,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,5,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
BaseAStar_2,5,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,23.75,0.5342
BaseAStar_0,6,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,6,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
BaseAStar_2,6,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,23.75,0.5342
BaseAStar_0,7,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,7,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
BaseAStar_2,7,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,23.75,0.5342
BaseAStar_0,8,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,8,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
BaseAStar_2,8,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,23.75,0.5342
BaseAStar_0,9,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,9,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
BaseAStar_2,9,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,23.75,0.5342
BaseAStar_0,10,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,10,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
BaseAStar_2,10,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,23.75,0.5342
BaseAStar_0,11,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,11,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
BaseAStar_2,11,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,23.75,0.5342
BaseAStar_0,12,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.8,0.4841
BaseAStar_1,12,A,P,AE->EF->FG->GH->HL->LP,82.0,600.0,27.9,0.4798
