driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
HighFam_0,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.64,0.4697
HighFam_1,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.64,0.4697
HighFam_2,1,A,P,AE->EF->FG->GK->KL->LP,117.0,600.0,30.4,0.3248
HighFam_0,2,A,P,AE->EF->FG->GK->KL->LP,60.0,600.0,38.33,0.1417
HighFam_1,2,A,P,AE->EF->FG->GK->KL->LP,60.0,600.0,38.33,0.1417
HighFam_2,2,A,P,AE->EF->FG->GK->KL->LP,90.0,600.0,30.55,0.3151
HighFam_0,3,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,26.64,0.39
HighFam_1,3,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.13,0.3786
HighFam_2,3,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.46,0.3721
HighFam_0,4,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,26.64,0.39
HighFam_1,4,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.13,0.3786
HighFam_2,4,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.46,0.3721
HighFam_0,5,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,26.64,0.39
HighFam_1,5,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.13,0.3786
HighFam_2,5,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.46,0.3721
HighFam_0,6,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,26.64,0.39
HighFam_1,6,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.13,0.3786
HighFam_2,6,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.46,0.3721
HighFam_0,7,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,26.64,0.39
HighFam_1,7,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.13,0.3786
HighFam_2,7,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.46,0.3721
HighFam_0,8,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,26.64,0.39
HighFam_1,8,A,P,AE->EF->FG->GK->KL->LP,84.0,600.0,27.13,0.3786
