driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
LowFam_0,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,22.27,0.5
LowFam_1,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,22.82,0.4842
LowFam_2,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.36,0.4733
LowFam_0,2,A,P,AE->EI->IJ->JK->KO->OP,67.0,600.0,33.85,0.1782
LowFam_1,2,A,P,AE->EI->IJ->JK->KO->OP,67.0,600.0,34.3,0.1699
LowFam_2,2,A,P,AE->EI->IJ->JK->KO->OP,67.0,600.0,34.42,0.1672
LowFam_0,3,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.14,0.06
LowFam_1,3,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.54,0.0543
LowFam_2,3,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.54,0.0543
LowFam_0,4,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.14,0.06
LowFam_1,4,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.54,0.0543
LowFam_2,4,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.54,0.0543
LowFam_0,5,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.14,0.06
LowFam_1,5,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.54,0.0543
LowFam_2,5,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.54,0.0543
LowFam_0,6,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.14,0.06
LowFam_1,6,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.54,0.0543
LowFam_2,6,A,P,AB->BF->FJ->JK->KO->OP,63.0,600.0,37.54,0.0543
LowFam_0,7,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,7,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_2,7,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_0,8,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,8,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_2,8,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_0,9,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,9,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_2,9,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_0,10,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,10,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_2,10,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_0,11,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,11,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_2,11,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_0,12,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,12,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_2,12,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_0,13,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,13,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_2,13,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_0,14,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,14,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_2,14,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_0,15,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,15,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_2,15,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,40.0,0.0211
LowFam_0,16,A,P,AE->EI->IJ->JO->OP,67.0,541.42,32.69,0.2418
LowFam_1,16,A,P,AB->BF->FJ->JO->OP,61.0,541.42,32.41,0.207
LowFam_2,16,A,P,AB->BF->FJ->JO->OP,61.0,541.42,32.72,0.1989
LowFam_0,17,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,17,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,17,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,18,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,18,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,18,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,19,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,19,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,19,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,20,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,20,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,20,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,21,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,21,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,21,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,22,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,22,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,22,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,23,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,23,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,23,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,24,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,24,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,24,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,25,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,25,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,25,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,26,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,26,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,26,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,27,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,27,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,27,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,28,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
LowFam_1,28,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.73,0.0685
LowFam_2,28,A,P,AB->BF->FJ->JO->OP,54.0,541.42,37.94,0.0627
LowFam_0,29,A,P,AB->BF->FG->GH->HL->LP,56.0,600.0,41.29,0.0236
