driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Traffic_0,1,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,24.05,0.552
Traffic_1,1,A,P,AE->EF->FG->GH->HL->LP,126.0,600.0,32.4,0.3321
Traffic_2,1,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,1,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,1,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,1,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,1,A,L,AE->EF->FG->GH->HL,110.0,500.0,36.42,0.2964
Traffic_7,1,A,L,AE->EF->FG->GH->HL,110.0,500.0,36.45,0.2958
Traffic_0,2,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,2,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,2,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,2,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,2,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,2,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,2,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,2,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,3,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,3,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,3,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,3,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,3,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,3,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,3,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,3,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,4,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,4,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,4,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,4,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,4,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,4,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,4,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,4,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,5,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,5,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,5,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,5,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,5,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
Traffic_5,5,I,P,IJ->JK->KL->LP,34.0,400.0,46.59,0.0088
Traffic_6,5,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_7,5,A,L,AE->EF->FG->GH->HL,96.0,500.0,23.54,0.5625
Traffic_0,6,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.21,0.5215
Traffic_1,6,A,P,AE->EF->FG->GH->HL->LP,107.0,600.0,24.64,0.5131
Traffic_2,6,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_3,6,E,P,EF->FG->GK->KL->LP,43.0,500.0,45.3,0.0056
Traffic_4,6,I,P,IJ->JK->KL->LP,34.0,400.0,46.35,0.0141
