driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Balanced_0,1,A,P,AE->EF->FJ->JK->KL->LP,99.0,600.0,22.27,0.5
Balanced_1,1,A,P,AE->EF->FJ->JK->KL->LP,99.0,600.0,22.55,0.4915
Balanced_2,1,A,P,AE->EF->FJ->JK->KL->LP,99.0,600.0,22.82,0.4842
Balanced_3,1,A,P,AE->EF->FJ->JK->KL->LP,99.0,600.0,23.09,0.4782
Balanced_4,1,A,P,AE->EF->FJ->JK->KL->LP,99.0,600.0,23.36,0.4733
Balanced_5,1,A,P,AE->EF->FJ->JK->KL->LP,99.0,600.0,23.64,0.4697
Balanced_6,1,A,P,AE->EF->FJ->JK->KL->LP,99.0,600.0,23.64,0.4697
Balanced_7,1,A,P,AE->EF->FJ->JK->KL->LP,99.0,600.0,23.64,0.4697
Balanced_8,1,A,P,AE->EF->FJ->JK->KL->LP,99.0,600.0,23.64,0.4697
Balanced_9,1,A,P,AE->EF->FJ->JK->KL->LP,99.0,600.0,23.64,0.4697
Balanced_10,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,22.55,0.495
Balanced_11,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,22.82,0.4866
Balanced_12,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,23.09,0.4794
Balanced_13,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,23.36,0.4734
Balanced_14,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,23.63,0.4686
Balanced_15,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,23.86,0.4656
Balanced_16,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,23.82,0.4664
Balanced_17,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,23.78,0.4674
Balanced_18,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,23.74,0.4686
Balanced_19,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,23.7,0.47
Balanced_0,2,A,P,AE->EF->FG->GH->HL->LP,99.0,600.0,22.27,0.5758
Balanced_1,2,A,P,AE->EF->FG->GH->HL->LP,99.0,600.0,22.55,0.5673
Balanced_2,2,A,P,AE->EF->FG->GH->HL->LP,99.0,600.0,22.82,0.56
Balanced_3,2,A,P,AE->EF->FG->GH->HL->LP,99.0,600.0,23.09,0.5539
Balanced_4,2,A,P,AE->EF->FG->GH->HL->LP,99.0,600.0,23.36,0.5491
Balanced_5,2,A,P,AE->EF->FG->GH->HL->LP,99.0,600.0,23.64,0.5455
Balanced_6,2,A,P,AE->EF->FG->GH->HL->LP,99.0,600.0,23.64,0.5455
Balanced_7,2,A,P,AE->EF->FG->GH->HL->LP,99.0,600.0,23.64,0.5455
Balanced_8,2,A,P,AE->EF->FG->GH->HL->LP,99.0,600.0,23.64,0.5455
Balanced_9,2,A,P,AE->EF->FG->GH->HL->LP,99.0,600.0,23.64,0.5455
Balanced_10,2,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,22.55,0.57
Balanced_11,2,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,22.82,0.5616
Balanced_12,2,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.09,0.5544
Balanced_13,2,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.36,0.5484
Balanced_14,2,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.63,0.5436
Balanced_15,2,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.86,0.5406
Balanced_16,2,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.82,0.5414
Balanced_17,2,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.78,0.5424
Balanced_18,2,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.74,0.5436
Balanced_19,2,A,P,AE->EF->FG->GH->HL->LP,117.0,600.0,23.7,0.545
Balanced_0,3,A,P,AE->EI->IJ->JK->KL->LP,99.0,600.0,22.27,0.5
Balanced_1,3,A,P,AE->EI->IJ->JK->KL->LP,99.0,600.0,22.55,0.4915
Balanced_2,3,A,P,AE->EI->IJ->JK->KL->LP,99.0,600.0,22.82,0.4842
Balanced_3,3,A,P,AE->EI->IJ->JK->KL->LP,99.0,600.0,23.09,0.4782
Balanced_4,3,A,P,AE->EI->IJ->JK->KL->LP,99.0,600.0,23.36,0.4733
Balanced_5,3,A,P,AE->EI->IJ->JK->KL->LP,99.0,600.0,23.64,0.4697
Balanced_6,3,A,P,AE->EI->IJ->JK->KL->LP,99.0,600.0,23.64,0.4697
Balanced_7,3,A,P,AE->EI->IJ->JK->KL->LP,99.0,600.0,23.64,0.4697
Balanced_8,3,A,P,AE->EI->IJ->JK->KL->LP,99.0,600.0,23.64,0.4697
Balanced_9,3,A,P,AE->EI->IJ->JK->KL->LP,99.0,600.0,23.64,0.4697
Balanced_10,3,A,P,AE->EI->IJ->JK->KL->LP,117.0,600.0,22.45,0.495
Balanced_11,3,A,P,AE->EI->IJ->JK->KL->LP,117.0,600.0,22.72,0.4866
Balanced_12,3,A,P,AE->EI->IJ->JK->KL->LP,117.0,600.0,22.99,0.4794
Balanced_13,3,A,P,AE->EI->IJ->JK->KL->LP,117.0,600.0,23.26,0.4734
Balanced_14,3,A,P,AE->EI->IJ->JK->KL->LP,117.0,600.0,23.53,0.4686
Balanced_15,3,A,P,AE->EI->IJ->JK->KL->LP,117.0,600.0,23.76,0.4656
Balanced_16,3,A,P,AE->EI->IJ->JK->KL->LP,117.0,600.0,23.72,0.4664
Balanced_17,3,A,P,AE->EI->IJ->JK->KL->LP,117.0,600.0,23.68,0.4674
Balanced_18,3,A,P,AE->EI->IJ->JK->KL->LP,117.0,600.0,23.64,0.4686
Balanced_19,3,A,P,AE->EI->IJ->JK->KL->LP,117.0,600.0,23.6,0.47
Balanced_0,4,A,P,AB->BF->FG->GK->KO->OP,105.0,600.0,20.71,0.5714
Balanced_1,4,A,P,AB->BF->FG->GK->KO->OP,105.0,600.0,20.95,0.5634
Balanced_2,4,A,P,AB->BF->FG->GK->KO->OP,105.0,600.0,21.19,0.5566
Balanced_3,4,A,P,AB->BF->FG->GK->KO->OP,105.0,600.0,21.43,0.5509
Balanced_4,4,A,P,AB->BF->FG->GK->KO->OP,105.0,600.0,21.67,0.5463
Balanced_5,4,A,P,AB->BF->FG->GK->KO->OP,105.0,600.0,21.9,0.5429
Balanced_6,4,A,P,AB->BF->FG->GK->KO->OP,105.0,600.0,21.9,0.5429
Balanced_7,4,A,P,AB->BF->FG->GK->KO->OP,105.0,600.0,21.9,0.5429
Balanced_8,4,A,P,AB->BF->FG->GK->KO->OP,105.0,600.0,21.9,0.5429
Balanced_9,4,A,P,AB->BF->FG->GK->KO->OP,105.0,600.0,21.9,0.5429
Balanced_10,4,A,P,AB->BF->FG->GK->KO->OP,123.0,600.0,20.9,0.566
Balanced_11,4,A,P,AB->BF->FG->GK->KO->OP,123.0,600.0,21.13,0.5581
Balanced_12,4,A,P,AB->BF->FG->GK->KO->OP,123.0,600.0,21.37,0.5513
Balanced_13,4,A,P,AB->BF->FG->GK->KO->OP,123.0,600.0,21.6,0.5457
Balanced_14,4,A,P,AB->BF->FG->GK->KO->OP,123.0,600.0,21.84,0.5411
Balanced_15,4,A,P,AB->BF->FG->GK->KO->OP,123.0,600.0,22.04,0.5383
Balanced_16,4,A,P,AB->BF->FG->GK->KO->OP,123.0,600.0,22.0,0.5391
Balanced_17,4,A,P,AB->BF->FG->GK->KO->OP,123.0,600.0,21.96,0.54
Balanced_18,4,A,P,AB->BF->FG->GK->KO->OP,123.0,600.0,21.92,0.5411
Balanced_19,4,A,P,AB->BF->FG->GK->KO->OP,123.0,600.0,21.89,0.5425
Balanced_0,5,A,P,AB->BF->FJ->JK->KO->OP,105.0,600.0,20.71,0.5
Balanced_1,5,A,P,AB->BF->FJ->JK->KO->OP,105.0,600.0,20.95,0.492
Balanced_2,5,A,P,AB->BF->FJ->JK->KO->OP,105.0,600.0,21.19,0.4851
Balanced_3,5,A,P,AB->BF->FJ->JK->KO->OP,105.0,600.0,21.43,0.4794
Balanced_4,5,A,P,AB->BF->FJ->JK->KO->OP,105.0,600.0,21.67,0.4749
Balanced_5,5,A,P,AB->BF->FJ->JK->KO->OP,105.0,600.0,21.9,0.4714
Balanced_6,5,A,P,AB->BF->FJ->JK->KO->OP,105.0,600.0,21.9,0.4714
Balanced_7,5,A,P,AB->BF->FJ->JK->KO->OP,105.0,600.0,21.9,0.4714
Balanced_8,5,A,P,AB->BF->FJ->JK->KO->OP,105.0,600.0,21.9,0.4714
