driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Explorer_0,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,22.27,0.5758
Explorer_1,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,22.82,0.56
Explorer_2,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.36,0.5491
Habitual_0,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.64,0.5455
Habitual_1,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.64,0.5455
Habitual_2,1,A,P,AE->EF->FG->GK->KL->LP,117.0,600.0,25.6,0.4968
Cautious_0,1,A,P,AE->EF->FG->GK->KL->LP,117.0,600.0,26.14,0.4828
Cautious_1,1,A,P,AE->EF->FG->GK->KL->LP,117.0,600.0,26.55,0.475
Cautious_2,1,A,P,AE->EF->FG->GK->KL->LP,117.0,600.0,26.65,0.4744
Balanced_0,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,30.37,0.3296
Balanced_1,1,A,P,AE->EF->FJ->JK->KL->LP,126.0,600.0,45.49,0.009
Balanced_2,1,A,P,AE->EF->FJ->JK->KL->LP,126.0,600.0,45.49,0.009
Explorer_0,2,A,P,AE->EI->IJ->JK->KO->OP,83.0,600.0,27.29,0.3494
Explorer_1,2,A,P,AE->EI->IJ->JK->KO->OP,83.0,600.0,27.65,0.3427
Explorer_2,2,A,P,AE->EI->IJ->JK->KO->OP,91.0,600.0,37.29,0.1363
Habitual_0,2,A,P,AE->EF->FG->GK->KL->LP,60.0,600.0,38.33,0.2083
Habitual_1,2,A,P,AE->EF->FG->GK->KL->LP,60.0,600.0,38.33,0.2083
Habitual_2,2,A,P,AE->EF->FG->GK->KL->LP,78.0,600.0,37.36,0.1954
Cautious_0,2,A,P,AB->BF->FJ->JK->KO->OP,80.0,600.0,28.96,0.28
Cautious_1,2,A,P,AB->BF->FJ->JK->KO->OP,80.0,600.0,29.44,0.268
Cautious_2,2,A,P,AB->BF->FJ->JK->KO->OP,80.0,600.0,29.76,0.2612
Balanced_0,2,A,P,AE->EF->FJ->JK->KL->LP,84.0,600.0,34.73,0.1666
Balanced_1,2,A,P,AE->EF->FJ->JK->KL->LP,84.0,600.0,35.15,0.1603
Balanced_2,2,A,P,AE->EF->FJ->JK->KL->LP,84.0,600.0,35.1,0.1621
Explorer_0,3,A,P,AB->BF->FG->GH->HL->LP,94.0,600.0,23.81,0.5238
Explorer_1,3,A,P,AB->BF->FG->GH->HL->LP,106.0,600.0,27.0,0.4174
Explorer_2,3,A,P,AB->BF->FJ->JK->KO->OP,73.0,600.0,30.42,0.2551
Habitual_0,3,A,P,AE->EF->FG->GK->KL->LP,88.0,600.0,25.58,0.4882
Habitual_1,3,A,P,AE->EF->FG->GK->KL->LP,88.0,600.0,26.15,0.4736
