driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Explorer_0,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,22.27,0.5758
Explorer_1,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,22.55,0.5673
Explorer_2,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,22.82,0.56
Explorer_3,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.09,0.5539
Explorer_4,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.36,0.5491
Habitual_0,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.64,0.5455
Habitual_1,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.64,0.5455
Habitual_2,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.64,0.5455
Habitual_3,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.64,0.5455
Habitual_4,1,A,P,AE->EF->FG->GK->KL->LP,99.0,600.0,23.64,0.5455
Cautious_0,1,A,P,AE->EF->FG->GK->KL->LP,117.0,600.0,29.95,0.42
Cautious_1,1,A,P,AE->EF->FG->GK->KL->LP,117.0,600.0,30.13,0.4144
Cautious_2,1,A,P,AE->EF->FG->GK->KL->LP,117.0,600.0,30.31,0.4096
Cautious_3,1,A,P,AE->EF->FG->GK->KL->LP,117.0,600.0,30.49,0.4056
Cautious_4,1,A,P,AE->EF->FG->GK->KL->LP,117.0,600.0,30.67,0.4024
Balanced_0,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,31.41,0.3156
Balanced_1,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,31.37,0.3164
Balanced_2,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,31.33,0.3174
Balanced_3,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,31.29,0.3186
Balanced_4,1,A,P,AE->EF->FJ->JK->KL->LP,117.0,600.0,31.25,0.32
Explorer_0,2,A,P,AE->EI->IJ->JK->KO->OP,65.0,600.0,35.08,0.1846
Explorer_1,2,A,P,AE->EI->IJ->JK->KO->OP,65.0,600.0,35.14,0.1825
Explorer_2,2,A,P,AE->EI->IJ->JK->KO->OP,65.0,600.0,35.2,0.1806
Explorer_3,2,A,P,AE->EI->IJ->JK->KO->OP,65.0,600.0,35.26,0.1791
Explorer_4,2,A,P,AE->EI->IJ->JK->KO->OP,65.0,600.0,35.32,0.1778
Habitual_0,2,A,P,AE->EF->FG->GK->KL->LP,61.0,600.0,37.7,0.2213
Habitual_1,2,A,P,AE->EF->FG->GK->KL->LP,61.0,600.0,37.77,0.219
Habitual_2,2,A,P,AE->EF->FG->GK->KL->LP,61.0,600.0,37.84,0.217
Habitual_3,2,A,P,AE->EF->FG->GK->KL->LP,61.0,600.0,37.9,0.2154
Habitual_4,2,A,P,AE->EF->FG->GK->KL->LP,61.0,600.0,37.97,0.2141
Cautious_0,2,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,38.16,0.0789
Cautious_1,2,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,38.39,0.0716
Cautious_2,2,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,38.61,0.0653
Cautious_3,2,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,38.84,0.06
Cautious_4,2,A,P,AB->BF->FJ->JK->KO->OP,57.0,600.0,39.07,0.0558
Balanced_0,2,A,P,AE->EF->FJ->JK->KL->LP,69.0,600.0,44.23,0.0096
Balanced_1,2,A,P,AE->EF->FJ->JK->KL->LP,69.0,600.0,44.23,0.0096
Balanced_2,2,A,P,AE->EF->FJ->JK->KL->LP,69.0,600.0,44.23,0.0096
Balanced_3,2,A,P,AE->EF->FJ->JK->KL->LP,69.0,600.0,44.23,0.0096
Balanced_4,2,A,P,AE->EF->FJ->JK->KL->LP,69.0,600.0,44.23,0.0096
Explorer_0,3,A,P,AB->BF->FJ->JK->KO->OP,79.0,600.0,29.24,0.2534
Explorer_1,3,A,P,AB->BF->FJ->JK->KO->OP,79.0,600.0,29.46,0.2486
Explorer_2,3,A,P,AE->EI->IJ->JK->KO->OP,66.0,600.0,33.56,0.2197
Explorer_3,3,A,P,AE->EI->IJ->JK->KO->OP,66.0,600.0,33.76,0.2133
Explorer_4,3,A,P,AE->EI->IJ->JK->KO->OP,66.0,600.0,33.95,0.2079
Habitual_0,3,A,P,AE->EF->FG->GK->KL->LP,62.0,600.0,36.48,0.2381
Habitual_1,3,A,P,AE->EF->FG->GK->KL->LP,62.0,600.0,36.63,0.2345
Habitual_2,3,A,P,AE->EF->FG->GK->KL->LP,62.0,600.0,36.77,0.2316
Habitual_3,3,A,P,AE->EF->FG->GK->KL->LP,62.0,600.0,36.85,0.23
Habitual_4,3,A,P,AE->EF->FG->GK->KL->LP,62.0,600.0,36.94,0.2287
Cautious_0,3,A,P,AB->BF->FJ->JK->KO->OP,78.0,600.0,29.4,0.2469
Cautious_1,3,A,P,AB->BF->FJ->JK->KO->OP,78.0,600.0,29.62,0.2418
Cautious_2,3,A,P,AB->BF->FJ->JK->KO->OP,78.0,600.0,29.83,0.2377
Cautious_3,3,A,P,AB->BF->FJ->JK->KO->OP,78.0,600.0,29.95,0.2356
Cautious_4,3,A,P,AB->BF->FJ->JK->KO->OP,78.0,600.0,30.01,0.2346
Balanced_0,3,A,P,AE->EF->FJ->JK->KL->LP,74.0,600.0,33.5,0.2335
Balanced_1,3,A,P,AE->EF->FJ->JK->KL->LP,74.0,600.0,33.5,0.2335
Balanced_2,3,A,P,AE->EF->FJ->JK->KL->LP,74.0,600.0,40.26,0.0965
Balanced_3,3,A,P,AE->EF->FJ->JK->KL->LP,78.0,600.0,44.34,0.0082
Balanced_4,3,A,P,AE->EF->FJ->JK->KL->LP,78.0,600.0,44.34,0.0082
Explorer_0,4,A,P,AB->BF->FG->GH->HL->LP,85.0,600.0,25.94,0.4652
Explorer_1,4,A,P,AB->BF->FG->GH->HL->LP,85.0,600.0,26.08,0.4602
Explorer_2,4,A,P,AB->BF->FJ->JK->KO->OP,77.0,600.0,29.23,0.28
Explorer_3,4,A,P,AB->BF->FJ->JK->KO->OP,77.0,600.0,29.34,0.2774
Explorer_4,4,A,P,AB->BF->FJ->JK->KO->OP,77.0,600.0,29.44,0.2753
Habitual_0,4,A,P,AE->EF->FG->GK->KL->LP,85.0,600.0,25.92,0.4868
Habitual_1,4,A,P,AE->EF->FG->GK->KL->LP,85.0,600.0,26.19,0.4791
Habitual_2,4,A,P,AE->EF->FG->GK->KL->LP,85.0,600.0,26.46,0.4725
Habitual_3,4,A,P,AE->EF->FG->GK->KL->LP,85.0,600.0,26.73,0.4671
Habitual_4,4,A,P,AE->EF->FG->GK->KL->LP,85.0,600.0,26.95,0.4633
Cautious_0,4,A,P,AB->BF->FG->GH->HL->LP,84.0,600.0,26.43,0.4469
Cautious_1,4,A,P,AB->BF->FG->GH->HL->LP,84.0,600.0,26.64,0.4424
Cautious_2,4,A,P,AB->BF->FG->GH->HL->LP,84.0,600.0,26.86,0.4388
Cautious_3,4,A,P,AB->BF->FG->GH->HL->LP,95.0,600.0,32.93,0.2476
Cautious_4,4,A,P,AB->BF->FG->GH->HL->LP,95.0,600.0,32.97,0.2467
