driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
BaseAStar,1,A,I,AB->BC->CF->FI,30.0,400.0,48.0,0.0
BaseAStar,2,A,I,AB->BC->CF->FI,30.0,400.0,48.0,0.0
BaseAStar,3,A,I,AB->BC->CF->FI,30.0,400.0,48.0,0.0
BaseAStar,4,A,I,AB->BC->CF->FI,30.0,400.0,48.0,0.0
BaseAStar,5,A,I,AB->BC->CF->FI,30.0,400.0,48.0,0.0
BaseAStar,6,A,I,AB->BE->EF->FI,39.0,400.0,38.67,0.1446
BaseAStar,7,A,I,AB->BE->EF->FI,39.0,400.0,38.67,0.1446
BaseAStar,8,A,I,AB->BE->EF->FI,39.0,400.0,38.67,0.1446
BaseAStar,9,A,I,AB->BE->EF->FI,36.0,400.0,41.22,0.0867
BaseAStar,10,A,I,AB->BE->EF->FI,36.0,400.0,41.22,0.0867
BaseAStar,11,A,I,AB->BE->EF->FI,36.0,400.0,41.22,0.0867
BaseAStar,12,A,I,AB->BE->EF->FI,36.0,400.0,41.22,0.0867
BaseAStar,13,A,I,AB->BE->EF->FI,36.0,400.0,41.22,0.0867
BaseAStar,14,A,I,AB->BE->EF->FI,36.0,400.0,41.22,0.0867
BaseAStar,15,A,I,AB->BE->EF->FI,36.0,400.0,41.22,0.0867
